iid,name,county.x,street_str_addr1,street_city,street_state,street_zip,street_zip4,attending_district_institutional_id,district,school,x2017_18_total_enrollment,x2018_19_total_enrollment,x2018_19_american_indian_alaska_native,x2018_19_percent_american_indian_alaska_native,x2018_19_asian,x2018_19_percent_asian,x2018_19_native_hawaiian_pacific_islander,x2018_19_percent_native_hawaiian_pacific_islander,x2018_19_black_african_american,x2018_19_percent_black_african_american,x2018_19_hispanic_latino,x2018_19_percent_hispanic_latino,x2018_19_white,x2018_19_percent_white,x2018_19_multiracial,x2018_19_percent_multiracial,address,lon,lat,county.y,district_id,district_name,institution_name,institution_type,student_group_type,student_group,approaches_to_learning_self_regulation_score,approaches_to_learning_interpersonal_skills_score,approaches_to_learning_total_score_score,approaches_to_learning_n,math_avg_number_correct_score,math_n,literacy_uppercase_letter_names_number_correct_score,literacy_uppercase_letter_names_number_correct_n,literacy_lowercase_letter_names_number_correct_score,literacy_lowercase_letter_names_number_correct_n,literacy_letter_sounds_number_correct_score,literacy_letter_sounds_number_correct_n
217,Ocean Crest Elementary School,Coos,1040 Allegany,Bandon,OR,97411,9035,1969,Bandon SD 54,Ocean Crest Elementary School,243,247,,0,2,0.0081,,0,1,0.00405,33,0.1336,189,0.76518,22,0.08907,1040 Allegany Bandon OR 97411,-124.4160298,43.1139107,Coos,1969,Bandon SD 54,Ocean Crest Elementary School,School,Total Population,Total Population,3.3,3.5,3.4,49,11,49,12.3,49,10.9,49,6.9,49
218,Bandon Senior High School,Coos,550 9th St SW,Bandon,OR,97411,9014,1969,Bandon SD 54,Bandon Senior High School,215,213,1,0.00469,3,0.01408,,0,,0,25,0.11737,163,0.76526,21,0.09859,550 9th St SW Bandon OR 97411,-124.4203153,43.1157208,,,,,,,,,,,,,,,,,,,
219,Crooked River Elementary School,Crook,1400 SE 2nd St,Prineville,OR,97754,2499,1970,Crook County SD,Crooked River Elementary School,583,598,3,0.00502,1,0.00167,1,0.00167,,0,52,0.08696,514,0.85953,27,0.04515,1400 SE 2nd St Prineville OR 97754,-120.8311437,44.2999552,Crook,1970,Crook County SD,Crooked River Elementary School,School,Total Population,Total Population,3.5,3.8,3.6,95,11.5,96,14.7,96,12,96,8.5,96
222,Paulina School,Crook,70050 SE Paulina City Rd,Paulina,OR,97751,9745,1970,Crook County SD,Paulina School,21,19,,0,,0,,0,,0,5,0.26316,14,0.73684,,0,70050 SE Paulina City Rd Paulina OR 97751,-119.96625,44.131147,Crook,1970,Crook County SD,Paulina School,School,Total Population,Total Population,,,,,,,,,,,,
223,Powell Butte Community Charter School,Crook,13650 SW Hwy 126,Powell Butte,OR,97753,1604,1970,Crook County SD,Powell Butte Community Charter School,200,201,2,0.00995,,0,,0,2,0.00995,7,0.03483,184,0.91542,6,0.02985,13650 SW Hwy 126 Powell Butte OR 97753,-121.0172651,44.247107,Crook,1970,Crook County SD,Powell Butte Community Charter School,School,Total Population,Total Population,3.3,3.1,3.2,22,13.7,22,18,22,14.2,22,11.5,22
224,Crook County Middle School,Crook,100 NE Knowledge St,Prineville,OR,97754,2056,1970,Crook County SD,Crook County Middle School,610,608,1,0.00164,3,0.00493,,0,,0,118,0.19408,446,0.73355,40,0.06579,100 NE Knowledge St Prineville OR 97754,-120.8338184,44.3013533,,,,,,,,,,,,,,,,,,,
225,Crook County High School,Crook,1100 SE Lynn Blvd,Prineville,OR,97754,2727,1970,Crook County SD,Crook County High School,750,759,2,0.00264,10,0.01318,1,0.00132,3,0.00395,111,0.14625,586,0.77207,46,0.06061,1100 SE Lynn Blvd Prineville OR 97754,-120.834489,44.2925309,,,,,,,,,,,,,,,,,,,
228,Driftwood Elementary School,Curry,1202 Oregon St,Port Orford,OR,97465,,1973,Port Orford-Langlois SD 2CJ,Driftwood Elementary School,170,157,4,0.02548,,0,,0,1,0.00637,10,0.06369,133,0.84713,9,0.05732,1202 Oregon St Port Orford OR 97465,-124.4965953,42.748678,Curry,1973,Port Orford-Langlois SD 2CJ,Driftwood Elementary School,School,Total Population,Total Population,3.3,3.9,3.5,26,11.1,27,13,27,10.7,27,6.9,27
229,Pacific High School,Curry,45525 Hwy 101,Port Orford,OR,97465,,1973,Port Orford-Langlois SD 2CJ,Pacific High School,57,55,,0,1,0.01818,,0,,0,7,0.12727,45,0.81818,2,0.03636,45525 Hwy 101 Port Orford OR 97465,-124.4742499,42.8464667,,,,,,,,,,,,,,,,,,,
231,Riley Creek Elementary School,Curry,94350 6th St,Gold Beach,OR,97444,9755,1972,Central Curry SD 1,Riley Creek Elementary School,308,329,9,0.02736,3,0.00912,2,0.00608,,0,34,0.10334,255,0.77508,26,0.07903,94350 6th St Gold Beach OR 97444,-124.4136304,42.4095739,Curry,1972,Central Curry SD 1,Riley Creek Elementary School,School,Total Population,Total Population,3.1,3.6,3.3,36,11.6,36,14.4,36,12.2,36,6.1,36
235,Azalea Middle School,Curry,505 Pacific Ave,Brookings,OR,97415,9290,1974,Brookings-Harbor SD 17C,Azalea Middle School,356,343,12,0.03499,1,0.00292,,0,1,0.00292,57,0.16618,205,0.59767,67,0.19534,505 Pacific Ave Brookings OR 97415,-124.2814747,42.0560617,,,,,,,,,,,,,,,,,,,
236,Kalmiopsis Elementary School,Curry,650 Easy St,Brookings,OR,97415,9148,1974,Brookings-Harbor SD 17C,Kalmiopsis Elementary School,736,730,26,0.03562,6,0.00822,,0,,0,126,0.1726,459,0.62877,113,0.15479,650 Easy St Brookings OR 97415,-124.2836604,42.0601458,Curry,1974,Brookings-Harbor SD 17C,Kalmiopsis Elementary School,School,Total Population,Total Population,3.8,4.1,3.9,105,12.4,104,13.6,104,11.3,104,6.8,104
237,Brookings-Harbor High School,Curry,625 Pioneer Rd,Brookings,OR,97415,8293,1974,Brookings-Harbor SD 17C,Brookings-Harbor High School,504,490,21,0.04286,2,0.00408,,0,6,0.01224,78,0.15918,288,0.58776,95,0.19388,625 Pioneer Rd Brookings OR 97415,-124.2803192,42.0572968,,,,,,,,,,,,,,,,,,,
239,Gold Beach High School,Curry,29516 Ellensburg Ave,Gold Beach,OR,97444,8729,1972,Central Curry SD 1,Gold Beach High School,166,159,4,0.02516,,0,,0,,0,14,0.08805,124,0.77987,17,0.10692,29516 Ellensburg Ave Gold Beach OR 97444,-124.4219721,42.4097218,,,,,,,,,,,,,,,,,,,
240,Hope Academy,Deschutes,1379 S 15th St,Redmond,OR,97756,,1975,High Desert ESD,Hope Academy,6,4,1,0.25,,0,,0,,0,,0,3,0.75,,0,1379 S 15th St Redmond OR 97756,-121.1843814,44.2633132,,,,,,,,,,,,,,,,,,,
241,Bear Creek Elementary School,Deschutes,51 SE 13th St,Bend,OR,97702,1555,1976,Bend-LaPine Administrative SD 1,Bear Creek Elementary School,569,579,3,0.00518,4,0.00691,,0,7,0.01209,244,0.42142,312,0.53886,9,0.01554,51 SE 13th St Bend OR 97702,-121.2874942,44.050533,Deschutes,1976,Bend-LaPine Administrative SD 1,Bear Creek Elementary School,School,Total Population,Total Population,3.6,3.6,3.6,97,11.1,98,13.8,98,11,96,9.9,96
242,Cascade Middle School,Deschutes,19619 Mountaineer Wy,Bend,OR,97702,1999,1976,Bend-LaPine Administrative SD 1,Cascade Middle School,668,753,2,0.00266,15,0.01992,1,0.00133,1,0.00133,69,0.09163,651,0.86454,14,0.01859,19619 Mountaineer Wy Bend OR 97702,-121.340761,44.037653,,,,,,,,,,,,,,,,,,,
245,LaPine Elementary School,Deschutes,51615 Coach Rd,LaPine,OR,97739,368,1976,Bend-LaPine Administrative SD 1,LaPine Elementary School,400,381,4,0.0105,3,0.00787,1,0.00262,1,0.00262,20,0.05249,347,0.91076,5,0.01312,51615 Coach Rd LaPine OR 97739,-121.5080277,43.6777583,Deschutes,1976,Bend-LaPine Administrative SD 1,LaPine Elementary School,School,Total Population,Total Population,3,3.3,3.1,50,10.8,47,10,49,7.4,49,4.1,49
246,Juniper Elementary School,Deschutes,1300 NE Norton St,Bend,OR,97701,4499,1976,Bend-LaPine Administrative SD 1,Juniper Elementary School,527,489,1,0.00204,6,0.01227,1,0.00204,4,0.00818,75,0.15337,382,0.78119,20,0.0409,1300 NE Norton St Bend OR 97701,-121.287808,44.0641361,Deschutes,1976,Bend-LaPine Administrative SD 1,Juniper Elementary School,School,Total Population,Total Population,3.3,3.6,3.4,66,12.3,67,16.4,67,13,67,8.3,67
247,R E Jewell Elementary School,Deschutes,20550 Murphy Rd,Bend,OR,97702,3002,1976,Bend-LaPine Administrative SD 1,R E Jewell Elementary School,524,542,4,0.00738,5,0.00923,1,0.00185,3,0.00554,109,0.20111,398,0.73432,22,0.04059,20550 Murphy Rd Bend OR 97702,-121.2973207,44.0215669,Deschutes,1976,Bend-LaPine Administrative SD 1,R E Jewell Elementary School,School,Total Population,Total Population,3.2,3.3,3.2,92,11.8,89,17,89,14.8,89,10,89
249,Pilot Butte Middle School,Deschutes,1501 NE Neff St,Bend,OR,97701,6149,1976,Bend-LaPine Administrative SD 1,Pilot Butte Middle School,652,683,6,0.00878,9,0.01318,2,0.00293,9,0.01318,97,0.14202,530,0.77599,30,0.04392,1501 NE Neff St Bend OR 97701,-121.2836299,44.0642627,,,,,,,,,,,,,,,,,,,
250,Buckingham Elementary School,Deschutes,62560 Hamby Rd,Bend,OR,97701,9529,1976,Bend-LaPine Administrative SD 1,Buckingham Elementary School,579,570,,0,9,0.01579,2,0.00351,2,0.00351,48,0.08421,483,0.84737,26,0.04561,62560 Hamby Rd Bend OR 97701,-121.241825,44.071793,Deschutes,1976,Bend-LaPine Administrative SD 1,Buckingham Elementary School,School,Total Population,Total Population,3.4,3.6,3.4,90,11.2,87,15.3,89,12.8,89,8.3,89
251,Bend Senior High School,Deschutes,230 NE 6th St,Bend,OR,97701,5198,1976,Bend-LaPine Administrative SD 1,Bend Senior High School,1774,1743,8,0.00459,27,0.01549,4,0.00229,21,0.01205,270,0.15491,1374,0.7883,39,0.02238,230 NE 6th St Bend OR 97701,-121.2955438,44.0524142,,,,,,,,,,,,,,,,,,,
252,Mountain View Senior High School,Deschutes,2755 NE 27th St,Bend,OR,97701,9539,1976,Bend-LaPine Administrative SD 1,Mountain View Senior High School,1452,1393,14,0.01005,23,0.01651,5,0.00359,10,0.00718,180,0.12922,1127,0.80905,34,0.02441,2755 NE 27th St Bend OR 97701,-121.2660305,44.0767359,,,,,,,,,,,,,,,,,,,
253,LaPine Senior High School,Deschutes,51633 Coach Rd,LaPine,OR,97739,0,1976,Bend-LaPine Administrative SD 1,LaPine Senior High School,390,432,4,0.00926,3,0.00694,,0,4,0.00926,33,0.07639,375,0.86806,13,0.03009,51633 Coach Rd LaPine OR 97739,-121.507033,43.6797175,,,,,,,,,,,,,,,,,,,
256,Sage Elementary School,Deschutes,2790 SW Wickiup,Redmond,OR,97756,,1977,Redmond SD 2J,Sage Elementary School,512,551,2,0.00363,,0,,0,2,0.00363,102,0.18512,423,0.7677,22,0.03993,2790 SW Wickiup Redmond OR 97756,-121.2022627,44.2462396,,,,,,,,,,,,,,,,,,,
258,John Tuck Elementary School,Deschutes,209 NW 10th St,Redmond,OR,97756,1741,1977,Redmond SD 2J,John Tuck Elementary School,394,396,2,0.00505,,0,,0,,0,88,0.22222,287,0.72475,19,0.04798,209 NW 10th St Redmond OR 97756,-121.179847,44.278317,,,,,,,,,,,,,,,,,,,
259,M A Lynch Elementary School,Deschutes,1314 SW Kalama Ave,Redmond,OR,97756,3054,1977,Redmond SD 2J,M A Lynch Elementary School,361,343,2,0.00583,,0,,0,8,0.02332,95,0.27697,223,0.65015,15,0.04373,1314 SW Kalama Ave Redmond OR 97756,-121.1824296,44.2658411,,,,,,,,,,,,,,,,,,,
260,Terrebonne Community School,Deschutes,1199  B  Ave,Terrebonne,OR,97760,9440,1977,Redmond SD 2J,Terrebonne Community School,420,446,4,0.00897,5,0.01121,1,0.00224,2,0.00448,37,0.08296,380,0.85202,17,0.03812,1199  B  Ave Terrebonne OR 97760,-121.1814037,44.3516432,Deschutes,1977,Redmond SD 2J,Terrebonne Community School,School,Total Population,Total Population,3.3,3.9,3.5,61,11.7,56,13.2,56,10.7,56,6.8,56
261,Tumalo Community School,Deschutes,19835 2nd St,Bend,OR,97701,9099,1977,Redmond SD 2J,Tumalo Community School,398,393,1,0.00254,1,0.00254,,0,3,0.00763,28,0.07125,352,0.89567,8,0.02036,19835 2nd St Bend OR 97701,-121.3328812,44.1512948,Deschutes,1977,Redmond SD 2J,Tumalo Community School,School,Total Population,Total Population,3.9,4.1,4,46,12.1,47,14.9,47,10.6,47,8,47
262,Obsidian Middle School,Deschutes,1335 SW Obsidian Ave,Redmond,OR,97756,3299,1977,Redmond SD 2J,Obsidian Middle School,612,613,4,0.00653,3,0.00489,2,0.00326,1,0.00163,181,0.29527,405,0.66069,17,0.02773,1335 SW Obsidian Ave Redmond OR 97756,-121.1824873,44.2632542,,,,,,,,,,,,,,,,,,,
263,Redmond High School,Deschutes,675 SW Rimrock Dr,Redmond,OR,97756,1999,1977,Redmond SD 2J,Redmond High School,973,1024,14,0.01367,6,0.00586,4,0.00391,7,0.00684,190,0.18555,763,0.74512,40,0.03906,675 SW Rimrock Dr Redmond OR 97756,-121.1916535,44.2712959,,,,,,,,,,,,,,,,,,,
264,Sisters Elementary School,Deschutes,611 E Cascade,Sisters,OR,97759,5037,1978,Sisters SD 6,Sisters Elementary School,305,306,6,0.01961,,0,3,0.0098,3,0.0098,19,0.06209,268,0.87582,7,0.02288,611 E Cascade Sisters OR 97759,-121.5415615,44.2903511,Deschutes,1978,Sisters SD 6,Sisters Elementary School,School,Total Population,Total Population,3.2,3.3,3.2,51,10.8,52,15.1,52,11.2,52,8.1,52
265,Brothers Elementary School,Deschutes,34396 Hwy 20,Brothers,OR,97712,,1970,Crook County SD,Brothers Elementary School,13,11,,0,,0,,0,,0,1,0.09091,10,0.90909,,0,34396 Hwy 20 Brothers OR 97712,-120.603097,43.813358,Crook,1970,Crook County SD,Brothers Elementary School,School,Total Population,Total Population,,,,,,,,,,,,
266,Lincoln Middle School,Douglas,931 Old Town Lp,Oakland,OR,97462,,1990,Oakland SD 1,Lincoln Middle School,206,209,3,0.01435,1,0.00478,,0,1,0.00478,16,0.07656,185,0.88517,3,0.01435,931 Old Town Lp Oakland OR 97462,-123.299088,43.43013,,,,,,,,,,,,,,,,,,,
267,Oakland Elementary School,Douglas,499 NE Spruce St,Oakland,OR,97462,0,1990,Oakland SD 1,Oakland Elementary School,214,203,9,0.04433,1,0.00493,,0,,0,13,0.06404,170,0.83744,10,0.04926,499 NE Spruce St Oakland OR 97462,-123.2988926,43.427802,Douglas,1990,Oakland SD 1,Oakland Elementary School,School,Total Population,Total Population,3.6,3.9,3.7,35,11.5,35,14.7,36,12.5,36,8.3,36
268,Oakland High School,Douglas,521 NE Spruce St,Oakland,OR,97462,390,1990,Oakland SD 1,Oakland High School,212,202,9,0.04455,1,0.00495,,0,,0,11,0.05446,179,0.88614,2,0.0099,521 NE Spruce St Oakland OR 97462,-123.2978746,43.4277002,,,,,,,,,,,,,,,,,,,
269,Eastwood Elementary School,Douglas,2550 SE Waldon Ave,Roseburg,OR,97470,3899,1991,Douglas County SD 4,Eastwood Elementary School,411,402,3,0.00746,1,0.00249,,0,,0,60,0.14925,308,0.76617,30,0.07463,2550 SE Waldon Ave Roseburg OR 97470,-123.3204362,43.2074168,Douglas,1991,Douglas County SD 4,Eastwood Elementary School,School,Total Population,Total Population,3.2,3.4,3.2,56,11.5,56,11.5,56,9.2,56,5.5,56
270,Fir Grove Elementary School,Douglas,1360 W Harvard Ave,Roseburg,OR,97470,2865,1991,Douglas County SD 4,Fir Grove Elementary School,320,324,4,0.01235,6,0.01852,2,0.00617,2,0.00617,69,0.21296,225,0.69444,16,0.04938,1360 W Harvard Ave Roseburg OR 97470,-123.3650238,43.2153411,Douglas,1991,Douglas County SD 4,Fir Grove Elementary School,School,Total Population,Total Population,3.3,3.5,3.4,49,11.1,46,11.7,46,9.2,46,3.8,46
271,Fullerton IV Elementary School,Douglas,2560 W Bradford Ave,Roseburg,OR,97470,2525,1991,Douglas County SD 4,Fullerton IV Elementary School,367,357,3,0.0084,4,0.0112,1,0.0028,1,0.0028,38,0.10644,293,0.82073,17,0.04762,2560 W Bradford Ave Roseburg OR 97470,-123.381142,43.217632,Douglas,1991,Douglas County SD 4,Fullerton IV Elementary School,School,Total Population,Total Population,3.2,3.5,3.3,58,11.7,59,13.9,59,11.9,59,6,59
272,Green Elementary School,Douglas,4498 SW Carnes Rd,Roseburg,OR,97470,4699,1991,Douglas County SD 4,Green Elementary School,250,285,2,0.00702,1,0.00351,,0,2,0.00702,31,0.10877,223,0.78246,26,0.09123,4498 SW Carnes Rd Roseburg OR 97470,-123.383213,43.14929,Douglas,1991,Douglas County SD 4,Green Elementary School,School,Total Population,Total Population,3.4,3.5,3.4,54,9.8,56,10.7,56,8.3,56,4.5,56
273,Hucrest Elementary School,Douglas,1810 NW Kline St,Roseburg,OR,97470,1735,1991,Douglas County SD 4,Hucrest Elementary School,426,473,6,0.01268,4,0.00846,3,0.00634,4,0.00846,48,0.10148,378,0.79915,30,0.06342,1810 NW Kline St Roseburg OR 97470,-123.3811694,43.2309553,Douglas,1991,Douglas County SD 4,Hucrest Elementary School,School,Total Population,Total Population,3.7,3.9,3.8,93,12,94,15.1,94,12.4,94,8,93
274,Melrose Elementary School,Douglas,2960 Melrose Rd,Roseburg,OR,97470,9637,1991,Douglas County SD 4,Melrose Elementary School,348,347,5,0.01441,1,0.00288,1,0.00288,,0,34,0.09798,288,0.82997,18,0.05187,2960 Melrose Rd Roseburg OR 97470,-123.445029,43.242983,Douglas,1991,Douglas County SD 4,Melrose Elementary School,School,Total Population,Total Population,3.2,3.3,3.2,51,11.3,47,17.3,47,13.9,47,8.7,47
276,Sunnyslope Elementary School,Douglas,2230 SW Cannon Rd,Roseburg,OR,97471,,1991,Douglas County SD 4,Sunnyslope Elementary School,274,280,5,0.01786,,0,,0,,0,34,0.12143,222,0.79286,19,0.06786,2230 SW Cannon Rd Roseburg OR 97471,-123.388432,43.154823,Douglas,1991,Douglas County SD 4,Sunnyslope Elementary School,School,Total Population,Total Population,3.1,3.3,3.2,50,10.4,49,12.9,49,9.9,49,5.8,49
277,Winchester Elementary,Douglas,217 Pioneer Way,Winchester,OR,97495,0,1991,Douglas County SD 4,Winchester Elementary,360,331,5,0.01511,3,0.00906,,0,2,0.00604,44,0.13293,258,0.77946,19,0.0574,217 Pioneer Way Winchester OR 97495,-123.3507846,43.2825274,Douglas,1991,Douglas County SD 4,Winchester Elementary School,School,Total Population,Total Population,3.6,4,3.7,48,10.3,46,12.9,47,10.5,47,5.6,47
278,John C Fremont Middle School,Douglas,850 W Keady Ct,Roseburg,OR,97470,2796,1991,Douglas County SD 4,John C Fremont Middle School,730,749,11,0.01469,7,0.00935,1,0.00134,7,0.00935,75,0.10013,589,0.78638,59,0.07877,850 W Keady Ct Roseburg OR 97470,-123.37085,43.210738,,,,,,,,,,,,,,,,,,,
279,Joseph Lane Middle School,Douglas,2153 NE Vine St,Roseburg,OR,97470,1599,1991,Douglas County SD 4,Joseph Lane Middle School,646,678,9,0.01327,10,0.01475,,0,3,0.00442,83,0.12242,518,0.76401,55,0.08112,2153 NE Vine St Roseburg OR 97470,-123.345746,43.234552,,,,,,,,,,,,,,,,,,,
280,Roseburg High School,Douglas,400 Harvard Ave,Roseburg,OR,97470,3012,1991,Douglas County SD 4,Roseburg High School,1576,1523,19,0.01248,27,0.01773,6,0.00394,11,0.00722,175,0.1149,1176,0.77216,109,0.07157,400 Harvard Ave Roseburg OR 97470,-123.353959,43.215794,,,,,,,,,,,,,,,,,,,
282,Glide Elementary School,Douglas,1477 Glide Loop Dr,Glide,OR,97443,9758,1992,Glide SD 12,Glide Elementary School,417,414,4,0.00966,,0,1,0.00242,,0,27,0.06522,357,0.86232,25,0.06039,1477 Glide Loop Dr Glide OR 97443,-123.0875683,43.3081507,Douglas,1992,Glide SD 12,Glide Elementary School,School,Total Population,Total Population,3.2,3.4,3.3,53,11.7,53,12,53,9.4,53,5.6,53
284,Glide Middle School,Douglas,18990 N Umpqua Hwy,Glide,OR,97443,9744,1992,Glide SD 12,Glide Middle School,109,113,4,0.0354,,0,,0,,0,9,0.07965,95,0.84071,5,0.04425,18990 N Umpqua Hwy Glide OR 97443,-123.096981,43.299607,,,,,,,,,,,,,,,,,,,
285,Glide High School,Douglas,18990 N Umpqua Hwy,Glide,OR,97443,9718,1992,Glide SD 12,Glide High School,221,217,3,0.01382,,0,1,0.00461,,0,13,0.05991,189,0.87097,11,0.05069,18990 N Umpqua Hwy Glide OR 97443,-123.096981,43.299607,,,,,,,,,,,,,,,,,,,
289,Canyonville School,Douglas,124 N Main,Canyonville,OR,97417,0,1994,South Umpqua SD 19,Canyonville School,223,219,4,0.01826,1,0.00457,,0,,0,30,0.13699,166,0.75799,18,0.08219,124 N Main Canyonville OR 97417,-123.2804213,42.9280641,Douglas,1994,South Umpqua SD 19,Canyonville School,School,Total Population,Total Population,3.6,4,3.7,22,10.5,22,12,23,8.8,23,6,23
290,Myrtle Creek Elementary School,Douglas,651 NE Division,Myrtle Creek,OR,97457,9698,1994,South Umpqua SD 19,Myrtle Creek Elementary School,338,322,4,0.01242,2,0.00621,,0,,0,35,0.1087,250,0.7764,31,0.09627,651 NE Division Myrtle Creek OR 97457,-123.279912,43.028961,Douglas,1994,South Umpqua SD 19,Myrtle Creek Elementary School,School,Total Population,Total Population,3.3,3.7,3.5,54,9.9,54,9.6,55,7.6,55,3.6,55
291,Coffenberry Middle School,Douglas,591 NE Rice,Myrtle Creek,OR,97457,9622,1994,South Umpqua SD 19,Coffenberry Middle School,313,307,6,0.01954,1,0.00326,,0,,0,32,0.10423,239,0.7785,29,0.09446,591 NE Rice Myrtle Creek OR 97457,-123.2833016,43.0292474,,,,,,,,,,,,,,,,,,,
292,Tri City Elementary School,Douglas,546 SW Chadwick Ln,Myrtle Creek,OR,97457,9796,1994,South Umpqua SD 19,Tri City Elementary School,268,288,7,0.02431,,0,,0,,0,19,0.06597,236,0.81944,26,0.09028,546 SW Chadwick Ln Myrtle Creek OR 97457,-123.328889,42.983405,Douglas,1994,South Umpqua SD 19,Tri City Elementary School,School,Total Population,Total Population,3.1,3.4,3.2,47,13.2,49,9,49,7.3,49,5.4,49
293,South Umpqua High School,Douglas,501 NW Chadwick Ln,Myrtle Creek,OR,97457,9797,1994,South Umpqua SD 19,South Umpqua High School,380,390,13,0.03333,3,0.00769,,0,1,0.00256,30,0.07692,318,0.81538,25,0.0641,501 NW Chadwick Ln Myrtle Creek OR 97457,-123.327041,42.986929,,,,,,,,,,,,,,,,,,,
296,North Douglas Elementary School,Douglas,100 N School St,Drain,OR,97435,0,1996,North Douglas SD 22,North Douglas Elementary School,254,256,4,0.01563,2,0.00781,,0,1,0.00391,27,0.10547,201,0.78516,21,0.08203,100 N School St Drain OR 97435,-123.3100128,43.662165,Douglas,1996,North Douglas SD 22,North Douglas Elementary School,School,Total Population,Total Population,3.4,3.8,3.5,18,10.8,18,11.1,18,7.8,18,2.6,18
297,North Douglas High School,Douglas,305 S Main,Drain,OR,97435,0,1996,North Douglas SD 22,North Douglas High School,82,82,4,0.04878,,0,,0,2,0.02439,10,0.12195,63,0.76829,3,0.03659,305 S Main Drain OR 97435,-123.3126208,43.660095,,,,,,,,,,,,,,,,,,,
299,Yoncalla Elementary School,Douglas,401 1st St,Yoncalla,OR,97499,,1997,Yoncalla SD 32,Yoncalla Elementary School,136,142,4,0.02817,,0,,0,1,0.00704,18,0.12676,108,0.76056,11,0.07746,401 1st St Yoncalla OR 97499,-123.2865218,43.6015507,Douglas,1997,Yoncalla SD 32,Yoncalla Elementary School,School,Total Population,Total Population,2.9,3.1,3,21,8,21,11.4,21,8.2,21,10.6,21
300,Yoncalla High School,Douglas,292 Fifth St,Yoncalla,OR,97499,0,1997,Yoncalla SD 32,Yoncalla High School,100,104,2,0.01923,2,0.01923,,0,,0,14,0.13462,72,0.69231,14,0.13462,292 Fifth St Yoncalla OR 97499,-123.283813,43.5950152,,,,,,,,,,,,,,,,,,,
302,Elkton Charter School,Douglas,739 River Rd,Elkton,OR,97436,0,1998,Elkton SD 34,Elkton Charter School,251,251,,0,2,0.00797,,0,1,0.00398,17,0.06773,215,0.85657,16,0.06375,739 River Rd Elkton OR 97436,-123.5702077,43.6380775,Douglas,1998,Elkton SD 34,Elkton Charter School,School,Total Population,Total Population,3.3,3.7,3.4,9,13,9,10.7,9,9.3,9,5.4,9
304,Riddle Elementary School,Douglas,Fifth & Park Sts,Riddle,OR,97469,0,1999,Riddle SD 70,Riddle Elementary School,230,236,3,0.01271,,0,,0,,0,23,0.09746,194,0.82203,16,0.0678,Fifth & Park Sts Riddle OR 97469,-123.361933,42.954509,Douglas,1999,Riddle SD 70,Riddle Elementary School,School,Total Population,Total Population,3.1,3.7,3.3,39,11.9,37,8.9,37,7.4,37,5.1,37
305,Riddle High School,Douglas,127 Main St,Riddle,OR,97469,,1999,Riddle SD 70,Riddle High School,163,164,3,0.01829,,0,,0,,0,15,0.09146,131,0.79878,15,0.09146,127 Main St Riddle OR 97469,-123.3648709,42.9496882,,,,,,,,,,,,,,,,,,,
306,Glendale Elementary School,Douglas,100 Pacific Ave,Glendale,OR,97442,,2000,Glendale SD 77,Glendale Elementary School,191,200,8,0.04,4,0.02,1,0.005,1,0.005,23,0.115,160,0.8,3,0.015,100 Pacific Ave Glendale OR 97442,-123.4242724,42.7356567,Douglas,2000,Glendale SD 77,Glendale Elementary School,School,Total Population,Total Population,3.6,4.1,3.8,21,11.1,21,11.6,21,9.3,21,4.4,21
307,Glendale Community Charter School,Douglas,10598 Azalea Glen Rd,Glendale,OR,97442,,2000,Glendale SD 77,Glendale Community Charter School,100,100,2,0.02,1,0.01,,0,1,0.01,7,0.07,85,0.85,4,0.04,10598 Azalea Glen Rd Glendale OR 97442,-123.414897,42.7430043,,,,,,,,,,,,,,,,,,,
309,Highland Elementary School,Douglas,2605 Longwood Dr,Reedsport,OR,97467,1799,2001,Reedsport SD 105,Highland Elementary School,355,369,9,0.02439,4,0.01084,2,0.00542,,0,29,0.07859,288,0.78049,37,0.10027,2605 Longwood Dr Reedsport OR 97467,-124.129402,43.692478,Douglas,2001,Reedsport SD 105,Highland Elementary School,School,Total Population,Total Population,3.3,3.7,3.4,51,10.2,39,14.6,37,10.7,38,5.3,39
310,Reedsport Community Charter School,Douglas,2260 Longwood Dr,Reedsport,OR,97467,1195,2001,Reedsport SD 105,Reedsport Community Charter School,333,317,8,0.02524,1,0.00315,,0,,0,32,0.10095,264,0.83281,12,0.03785,2260 Longwood Dr Reedsport OR 97467,-124.1234598,43.6938858,,,,,,,,,,,,,,,,,,,
311,McGovern Elementary School,Douglas,600 NW Elwood,Winston,OR,97496,8568,2002,Winston-Dillard SD 116,McGovern Elementary School,247,225,4,0.01778,,0,,0,2,0.00889,23,0.10222,182,0.80889,14,0.06222,600 NW Elwood Winston OR 97496,-123.423156,43.121746,,,,,,,,,,,,,,,,,,,
313,Lookingglass Elementary School,Douglas,7421 Lookingglass Rd,Roseburg,OR,97470,9757,2002,Winston-Dillard SD 116,Lookingglass Elementary School,175,190,1,0.00526,,0,1,0.00526,1,0.00526,11,0.05789,169,0.88947,7,0.03684,7421 Lookingglass Rd Roseburg OR 97470,-123.487233,43.176983,Douglas,2002,Winston-Dillard SD 116,Lookingglass Elementary School,School,Total Population,Total Population,3.8,4.1,3.9,24,11.8,22,15,22,12.8,22,8.7,22
