OBJECTID,GEOID10,County,TOTPOP_CY,POP18UNDER_CY,POP18UNDER_PCT,x,y
437,41051010200,Multnomah,6125,1328,21.7,,
438,41051010304,Multnomah,4703,1550,33,,
439,41051010306,Multnomah,4764,1312,27.5,,
440,41051010402,Multnomah,6362,1679,26.4,,
441,41051010407,Multnomah,5739,1558,27.1,,
442,41051009400,Multnomah,6730,1157,17.2,,
443,41051009501,Multnomah,4854,1104,22.7,,
444,41051009701,Multnomah,5788,1574,27.2,,
445,41051010408,Multnomah,6243,1776,28.4,,
446,41051007100,Multnomah,2817,437,15.5,,
447,41051009301,Multnomah,6169,1692,27.4,,
448,41051010002,Multnomah,5217,1179,22.6,,
449,41051010305,Multnomah,4161,1012,24.3,,
450,41051009101,Multnomah,5686,1561,27.5,,
451,41051009804,Multnomah,3218,785,24.4,,
452,41051010100,Multnomah,9214,2111,22.9,,
453,41051009606,Multnomah,5606,1623,29,,
454,41051009702,Multnomah,8182,2344,28.6,,
455,41051009801,Multnomah,4718,1487,31.5,,
456,41051010001,Multnomah,5776,1368,23.7,,
457,41051010303,Multnomah,5736,1621,28.3,,
458,41051010405,Multnomah,6021,1470,24.4,,
459,41051010409,Multnomah,7560,2082,27.5,,
460,41051006404,Multnomah,3678,539,14.7,,
461,41051009905,Multnomah,3224,810,25.1,,
462,41051009907,Multnomah,5240,1331,25.4,,
463,41051010411,Multnomah,2983,727,24.4,,
464,41051006403,Multnomah,4028,880,21.8,,
465,41051010410,Multnomah,4603,1097,23.8,,
466,41055950100,Sherman,1823,351,19.3,,
467,41051002903,Multnomah,5326,1107,20.8,,
468,41051007800,Multnomah,1796,372,20.7,,
469,41051008800,Multnomah,4104,900,21.9,,
470,41051000100,Multnomah,6101,1096,18,,
471,41051000200,Multnomah,5733,967,16.9,,
472,41051000301,Multnomah,5187,498,9.6,,
473,41051009904,Multnomah,3734,924,24.7,,
474,41051009906,Multnomah,3631,890,24.5,,
475,41051010600,Multnomah,3513,71,2,,
476,41051002303,Multnomah,2119,146,6.9,,
477,41051002203,Multnomah,3401,479,14.1,,
478,41031960100,Jefferson,2234,335,15,,
479,41031940000,Jefferson,3140,1089,34.7,,
480,41031960302,Jefferson,4243,1059,25,,
481,41031960202,Jefferson,5570,1482,26.6,,
482,41031960201,Jefferson,3421,1025,30,,
483,41031960301,Jefferson,3560,506,14.2,,
484,41051000302,Multnomah,6957,1643,23.6,,
485,41051000401,Multnomah,3482,619,17.8,,
486,41051000402,Multnomah,3681,642,17.4,,
487,41051000501,Multnomah,3730,676,18.1,,
488,41051000502,Multnomah,4632,931,20.1,,
489,41051000601,Multnomah,5467,1475,27,,
490,41051000602,Multnomah,5072,1242,24.5,,
491,41051000701,Multnomah,4290,712,16.6,,
493,41037960100,Lake,2833,554,19.6,,
494,41043030600,Linn,6991,1955,28,,
495,41043030300,Linn,2371,459,19.4,,
496,41043020100,Linn,9352,2170,23.2,,
497,41043020200,Linn,1766,313,17.7,,
498,41043030700,Linn,4089,815,19.9,,
499,41043020300,Linn,7271,1822,25.1,,
500,41043020600,Linn,8851,2137,24.1,,
501,41043030100,Linn,6071,1357,22.4,,
502,41043030500,Linn,4240,928,21.9,,
503,41043030902,Linn,7085,1576,22.2,,
504,41043020500,Linn,4007,827,20.6,,
505,41043030401,Linn,6421,1543,24,,
506,41043030903,Linn,6309,1499,23.8,,
507,41043030200,Linn,6854,1574,23,,
508,41043020400,Linn,4175,978,23.4,,
509,41043030800,Linn,7927,1851,23.4,,
510,41043030402,Linn,6779,1593,23.5,,
511,41043030904,Linn,4016,983,24.5,,
512,41051000702,Multnomah,4918,909,18.5,,
513,41051000801,Multnomah,4522,735,16.3,,
514,41051000802,Multnomah,4554,733,16.1,,
515,41051000901,Multnomah,4067,642,15.8,,
516,41051000902,Multnomah,4406,731,16.6,,
517,41051001000,Multnomah,5504,697,12.7,,
518,41051001101,Multnomah,2178,95,4.4,,
519,41051001102,Multnomah,1375,149,10.8,,
520,41051001201,Multnomah,5136,446,8.7,,
521,41043020700,Linn,5560,1412,25.4,,
522,41043020802,Linn,6047,1772,29.3,,
523,41043020801,Linn,2470,545,22.1,,
524,41005022907,Clackamas,4204,1359,32.3,,
525,41005022904,Clackamas,3549,1048,29.5,,
526,41005022905,Clackamas,4185,1017,24.3,,
527,41005023002,Clackamas,3560,726,20.4,,
528,41005023001,Clackamas,3444,743,21.6,,
529,41005023403,Clackamas,4931,1392,28.2,,
530,41005023404,Clackamas,6062,1584,26.1,,
531,41005023902,Clackamas,4922,1351,27.4,,
532,41005023901,Clackamas,5067,1556,30.7,,
533,41005024303,Clackamas,3211,593,18.5,,
534,41005024304,Clackamas,2484,431,17.4,,
535,41067031909,Washington,4793,1558,32.5,,
536,41067031812,Washington,5640,1116,19.8,,
537,41067031912,Washington,4497,1185,26.4,,
538,41067031616,Washington,3121,472,15.1,,
539,41067031609,Washington,8840,2026,22.9,,
540,41067032700,Washington,4877,1134,23.3,,
541,41067031509,Washington,3335,884,26.5,,
542,41067031514,Washington,6823,1982,29,,
543,41067031513,Washington,11765,4089,34.8,,
544,41067030101,Washington,7754,1071,13.8,,
545,41067030102,Washington,5308,1211,22.8,,
546,41067031615,Washington,5531,1621,29.3,,
547,41067032408,Washington,6452,1769,27.4,,
548,41067032608,Washington,2275,491,21.6,,
549,41067032610,Washington,2894,885,30.6,,
550,41067031805,Washington,7074,1892,26.7,,
551,41067031814,Washington,4156,1227,29.5,,
552,41067032107,Washington,1942,450,23.2,,
553,41067032104,Washington,4874,1514,31.1,,
554,41067032001,Washington,5614,1312,23.4,,
555,41067032410,Washington,3940,1181,30,,
556,41067032502,Washington,2941,769,26.1,,
557,41067032501,Washington,3526,680,19.3,,
558,41067032409,Washington,5256,1918,36.5,,
559,41067033302,Washington,5066,1283,25.3,,
560,41067032606,Washington,6578,1815,27.6,,
561,41067031614,Washington,4814,1443,30,,
562,41067032407,Washington,5160,1543,29.9,,
563,41067032108,Washington,4277,1085,25.4,,
564,41067033301,Washington,5589,1656,29.6,,
565,41067031815,Washington,6443,1639,25.4,,
566,41067031617,Washington,4943,896,18.1,,
567,41067032800,Washington,1238,248,20,,
568,41067032110,Washington,3604,448,12.4,,
569,41067032109,Washington,3060,1030,33.7,,
570,41067032003,Washington,3853,957,24.8,,
571,41067032004,Washington,1975,451,22.8,,
572,41067032005,Washington,4293,1250,29.1,,
573,41067030806,Washington,2678,760,28.4,,
574,41067032607,Washington,3453,314,9.1,,
575,41067032609,Washington,2239,601,26.8,,
576,41067033101,Washington,2916,710,24.3,,
577,41067033102,Washington,3245,841,25.9,,
578,41067032901,Washington,5711,1763,30.9,,
579,41005022103,Clackamas,5917,1667,28.2,,
580,41005020304,Clackamas,5323,1424,26.8,,
581,41005020303,Clackamas,5478,876,16,,
582,41005021801,Clackamas,5633,1108,19.7,,
583,41005021802,Clackamas,4256,1021,24,,
584,41005020503,Clackamas,2168,494,22.8,,
585,41005023201,Clackamas,4280,910,21.3,,
586,41005024100,Clackamas,4975,1122,22.6,,
587,41005023500,Clackamas,5836,1243,21.3,,
588,41005023600,Clackamas,3879,732,18.9,,
589,41005024200,Clackamas,5834,1331,22.8,,
590,41005024000,Clackamas,2797,684,24.5,,
591,41005024302,Clackamas,4962,1043,21,,
592,41005023700,Clackamas,4699,978,20.8,,
593,41005020100,Clackamas,3890,915,23.5,,
594,41005020200,Clackamas,6350,1219,19.2,,
595,41005020302,Clackamas,3562,784,22,,
596,41067033200,Washington,6603,1605,24.3,,
597,41005020401,Clackamas,5261,1214,23.1,,
598,41005020404,Clackamas,3869,926,23.9,,
599,41005020501,Clackamas,7026,1906,27.1,,
600,41005020504,Clackamas,6322,1515,24,,
601,41005020600,Clackamas,8190,2147,26.2,,
602,41005020700,Clackamas,3859,1029,26.7,,
603,41067031504,Washington,6311,1387,22,,
604,41067031611,Washington,7072,1588,22.5,,
605,41067031705,Washington,5061,1522,30.1,,
606,41067031610,Washington,7917,1707,21.6,,
607,41067031511,Washington,3129,872,27.9,,
608,41067031403,Washington,4959,1178,23.8,,
609,41067032103,Washington,10119,3295,32.6,,
610,41067031612,Washington,3321,905,27.3,,
611,41005020800,Clackamas,3873,709,18.3,,
612,41005020900,Clackamas,3807,790,20.8,,
